gene_num,start,end,gene,locus_tag,old_locus_tag,n_distinct_mutations,description,sig
289,310723,312828,SP_0338,SP_RS01650,SP_0338,1,ATP-dependent Clp protease ATP-binding subunit,FALSE
291,313701,315185,SP_0341,SP_RS01660,SP_0341,1,DUF1846 domain-containing protein,FALSE
311,338405,338728,tnpB,SP_RS01780,SP_0364,1,IS66 family insertion sequence element accessory protein TnpB,FALSE
314,341383,346686,SP_0368,SP_RS01795,SP_0368,1,YSIRK-type signal peptide-containing protein,FALSE
321,352253,353647,mapZ,SP_RS01830,SP_0374,1,mid-cell-anchored protein MapZ,FALSE
324,355947,356969,cbpC,SP_RS01845,SP_0377,1,choline-binding protein CbpC,FALSE
325,356987,357985,cbpJ,SP_RS01850,SP_0378,1,choline-binding protein CbpJ,FALSE
327,359378,360340,SP_0380,SP_RS01860,SP_0380,1,lanthionine synthetase,FALSE
331,363118,364125,SP_0383,SP_RS01880,SP_0383,1,phosphomevalonate kinase,FALSE
339,369611,370633,cbpF,SP_RS01930,SP_0391,1,choline-binding protein CbpF,FALSE
343,376559,377695,SP_0397,SP_RS01970,SP_0397,1,mannitol-1-phosphate 5-dehydrogenase,FALSE
348,384043,384345,zapA,SP_RS02005,SP_0404,1,cell division protein ZapA,FALSE
365,400947,401432,SP_0423,SP_RS02090,SP_0423,1,acetyl-CoA carboxylase biotin carboxyl carrier protein,FALSE
367,401863,403230,accC,SP_RS02100,SP_0425,1,acetyl-CoA carboxylase biotin carboxylase subunit,FALSE
375,408330,408890,efp,SP_RS02145,SP_0435,1,elongation factor P,FALSE
378,411927,412229,gatC,SP_RS02160,SP_0438,1,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC,FALSE
385,417449,419149,SP_0445,SP_RS02190,SP_0445,1,acetolactate synthase large subunit,FALSE
394,426445,428334,SP_0454,SP_RS02235,SP_0454,1,DUF2207 domain-containing protein,FALSE
413,455862,457274,lacG,SP_RS02355,SP_0477,1,6-phospho-beta-galactosidase,FALSE
429,474605,476236,SP_0496,SP_RS02445,SP_0496,1,Na/Pi cotransporter family protein,FALSE
431,481598,482794,SP_0499,SP_RS02455,SP_0499,1,phosphoglycerate kinase,FALSE
438,487391,488188,psrA,SP_RS02485,SP_0506,1,tyrosine-type DNA invertase PsrA,FALSE
448,502190,502600,SP_0521,SP_RS02550,SP_0521,1,HIT family protein,FALSE
464,513370,513534,SP_0535,SP_RS13000,SP_0535,1,hypothetical protein,FALSE
471,516967,517350,SP_0544,SP_RS02680,SP_0544,1,hypothetical protein,FALSE
512,564534,564989,SP_0595,SP_RS02940,SP_0595,1,hypothetical protein,FALSE
520,571604,572485,SP_0605,SP_RS02975,SP_0605,1,fructose-bisphosphate aldolase,FALSE
525,576417,577175,SP_0610,SP_RS03000,SP_0610,1,amino acid ABC transporter ATP-binding protein,FALSE
526,577452,579674,recJ,SP_RS03005,SP_0611,1,single-stranded-DNA-specific exonuclease RecJ,FALSE
527,579849,581510,SP_0613,SP_RS03010,SP_0613,1,ribonuclease J,FALSE
536,590185,591585,pepV,SP_RS03055,SP_0623,1,dipeptidase PepV,FALSE
540,592835,594160,brnQ,SP_RS03070,SP_0626,1,branched-chain amino acid transport system II carrier protein,FALSE
548,600065,601057,SP_0636,SP_RS03115,SP_0636,1,ATP-binding cassette domain-containing protein,FALSE
566,628968,629678,ccdA2,SP_RS03230,SP_0658,1,thiol-disulfide oxidoreductase-associated membrane protein CcdA2,FALSE
584,650815,651723,SP_0676,SP_RS03320,SP_0676,1,LysR family transcriptional regulator,FALSE
593,659295,660647,SP_0688,SP_RS03370,SP_0688,1,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,FALSE
595,661717,662916,divIB,SP_RS03380,SP_0690,1,cell division protein DivIB,FALSE
599,670207,670971,SP_0704,SP_RS03440,SP_0704,1,hypothetical protein,FALSE
613,685000,685560,SP_0719,SP_RS03520,SP_0719,1,ECF transporter S component,FALSE
614,685561,686946,SP_0720,SP_RS03525,SP_0720,1,energy-coupling factor ABC transporter ATP-binding protein,FALSE
615,686948,687598,SP_0721,SP_RS03530,SP_0721,1,energy-coupling factor transporter transmembrane protein EcfT,FALSE
619,689626,690258,SP_0725,SP_RS03550,SP_0725,1,thiamine phosphate synthase,FALSE
621,691625,692020,SP_0727,SP_RS03560,SP_0727,1,CopY/TcrY family copper transport repressor,FALSE
630,702743,703918,SP_0741,SP_RS03630,SP_0741,1,NAD(P)/FAD-dependent oxidoreductase,FALSE
631,703977,704822,SP_0742,SP_RS03635,SP_0742,1,DegV family protein,FALSE
638,709328,710197,SP_0750,SP_RS03670,SP_0750,1,branched-chain amino acid ABC transporter permease,FALSE
650,723201,724136,SP_0764,SP_RS03730,SP_0764,1,dihydroorotate oxidase,FALSE
651,724170,725207,SP_0765,SP_RS03735,SP_0765,1,DNA polymerase III subunit delta,FALSE
652,725380,725985,SP_0766,SP_RS03740,SP_0766,1,superoxide dismutase SodA,FALSE
655,727759,728241,SP_0769,SP_RS03755,SP_0769,1,VanZ family protein,FALSE
672,740402,741661,SP_0787,SP_RS03845,SP_0787,1,ABC transporter permease,FALSE
682,749307,751853,SP_0797,SP_RS03900,SP_0797,1,M1 family metallopeptidase,FALSE
689,759271,759825,SP_0804,SP_RS03940,SP_0804,1,DJ-1/PfpI family protein,FALSE
693,766227,766514,tnpB,SP_RS03970,SP_RS03970,1,IS66 family insertion sequence element accessory protein TnpB,FALSE
694,768201,768500,SP_0816,SP_RS03995,SP_0816,1,DUF1827 family protein,FALSE
699,774761,775618,SP_0825,SP_RS04035,SP_0825,1,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase,FALSE
703,779639,780181,SP_0830,SP_RS04060,SP_0830,1,DUF1697 domain-containing protein,FALSE
722,800700,803171,parC,SP_RS04190,SP_0855,1,DNA topoisomerase IV subunit A,FALSE
724,804381,805085,SP_0857,SP_RS04200,SP_0857,1,hypothetical protein,FALSE
731,808189,809391,rpsA,SP_RS04235,SP_0862,1,30S ribosomal protein S1,FALSE
740,818942,820183,pbp3,SP_RS04300,SP_0872,1,D-alanyl-D-alanine carboxypeptidase PBP3,FALSE
760,840125,843475,SP_0892,SP_RS04400,SP_0892,1,DEAD/DEAH box helicase family protein,FALSE
763,847088,850189,SP_0895,SP_RS04415,SP_0895,1,DNA polymerase III subunit alpha,FALSE
778,867497,868141,SP_0914,SP_RS04515,SP_0914,1,VIT family protein,FALSE
780,869869,871344,SP_0916,SP_RS04525,SP_0916,1,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,FALSE
784,874398,875525,nspC,SP_RS04550,SP_0920,1,carboxynorspermidine decarboxylase,FALSE
792,880847,881308,SP_0928,SP_RS04590,SP_0928,1,signal peptidase II,FALSE
793,881298,882185,SP_0929,SP_RS04595,SP_0929,1,RluA family pseudouridine synthase,FALSE
805,892960,894294,trmFO,SP_RS04665,SP_0943,1,methylenetetrahydrofolate--tRNA-(uracil(54)- C(5))-methyltransferase (FADH(2)-oxidizing) TrmFO,FALSE
814,901982,902632,SP_0954,SP_RS04730,SP_0954,1,helix-hairpin-helix domain-containing protein,FALSE
824,910015,910953,SP_0964,SP_RS04780,SP_0964,1,dihydroorotate dehydrogenase,FALSE
839,924531,926333,pepF,SP_RS04855,SP_0979,1,oligoendopeptidase F,FALSE
840,926335,927048,SP_0980,SP_RS04860,SP_0980,1,O-methyltransferase,FALSE
841,927115,928056,prsA,SP_RS04865,SP_0981,1,peptidylprolyl isomerase PrsA,FALSE
855,940156,940863,ccdA2,SP_RS04955,SP_0999,1,thiol-disulfide oxidoreductase-associated membrane protein CcdA2,FALSE
871,959139,960396,SP_1015,SP_RS05040,SP_1015,1,ISL3 family transposase,FALSE
880,966451,967707,SP_1024,SP_RS05085,SP_1024,1,serine hydroxymethyltransferase,FALSE
902,987326,987607,SP_1048,SP_RS05190,SP_1048,1,hypothetical protein,FALSE
911,996190,997536,SP_1061,SP_RS05245,SP_1061,1,protein kinase,FALSE
919,1006709,1007575,SP_1070,SP_RS05290,SP_1070,1,ABC transporter permease,FALSE
921,1008420,1010180,dnaG,SP_RS05300,SP_1072,1,DNA primase,FALSE
944,1031131,1031949,SP_1098,SP_RS05435,SP_1098,1,NAD kinase,FALSE
957,1044704,1045567,SP_1115,SP_RS05520,SP_1115,1,XRE/MutR family transcriptional regulator,FALSE
962,1053719,1055647,glgB,SP_RS05550,SP_1121,1,"1,4-alpha-glucan branching protein GlgB",FALSE
996,1091975,1093525,SP_1157,SP_RS05710,SP_1157,1,ClC family H(+)/Cl(-) exchange transporter,FALSE
1006,1104364,1104828,SP_1168,SP_RS05760,SP_1168,1,8-oxo-dGTP diphosphatase,FALSE
1019,1121169,1122575,lacG,SP_RS05825,SP_1184,1,6-phospho-beta-galactosidase,FALSE
1022,1124828,1125664,SP_1187,SP_RS05840,SP_1187,1,transcription antiterminator,FALSE
1030,1132584,1134407,lepA,SP_RS05895,SP_1200,1,translation elongation factor 4,FALSE
1040,1141941,1142819,truB,SP_RS05950,SP_1212,1,tRNA pseudouridine(55) synthase TruB,FALSE
1050,1156713,1156967,SP_1223,SP_RS05995,SP_1223,1,type II toxin-antitoxin system RelE/ParE family toxin,FALSE
1055,1160215,1161390,mutY,SP_RS06020,SP_1228,1,A/G-specific adenine glycosylase,FALSE
1067,1171501,1173666,SP_1241,SP_RS06080,SP_1241,1,ABC transporter substrate-binding protein/permease,FALSE
1071,1177381,1178199,SP_1245,SP_RS06100,SP_1245,1,Cof-type HAD-IIB family hydrolase,FALSE
1074,1182520,1183218,SP_1248,SP_RS06115,SP_1248,1,ribonuclease III,FALSE
1108,1218832,1219392,SP_1284,SP_RS06295,SP_1284,1,LemA family protein,FALSE
1109,1219486,1220199,rsmG,SP_RS06300,SP_1285,1,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,FALSE
1124,1230958,1231242,SP_1299,SP_RS06375,SP_1299,1,type B 50S ribosomal protein L31,FALSE
1130,1237775,1238098,tnpB,SP_RS06445,SP_1313,1,IS66 family insertion sequence element accessory protein TnpB,FALSE
1134,1240557,1242332,SP_1317,SP_RS06465,SP_1317,1,V-type ATP synthase subunit A,FALSE
1138,1244392,1244868,SP_1321,SP_RS12820,SP_1321,1,V-type ATP synthase subunit K,FALSE
1140,1246865,1247188,SP_1323,SP_RS06495,SP_1323,1,hypothetical protein,FALSE
1143,1249409,1251631,SP_1326,SP_RS06510,SP_1326,1,exo-alpha-sialidase,FALSE
1145,1252110,1253651,SP_1328,SP_RS06520,SP_1328,1,sodium:solute symporter,FALSE
1159,1270399,1270536,SP_1345,SP_RS12830,SP_1345,1,hypothetical protein,FALSE
1167,1277458,1279209,SP_1357,SP_RS06640,SP_1357,1,ABC transporter ATP-binding protein/permease,FALSE
1190,1303855,1304604,SP_1381,SP_RS06770,SP_1381,1,ABC transporter ATP-binding protein,FALSE
1191,1304783,1306237,SP_1382,SP_RS06775,SP_1382,1,alpha-amylase,FALSE
1196,1311286,1312059,SP_1387,SP_RS06800,SP_1387,1,ABC transporter permease,FALSE
1197,1312056,1312862,SP_1388,SP_RS06805,SP_1388,1,ABC transporter permease,FALSE
1205,1319684,1320442,pstB,SP_RS06845,SP_1396,1,phosphate ABC transporter ATP-binding protein PstB,FALSE
1206,1320455,1321258,pstB,SP_RS06850,SP_1397,1,phosphate ABC transporter ATP-binding protein PstB,FALSE
1207,1321269,1322153,pstA,SP_RS06855,SP_1398,1,phosphate ABC transporter permease PstA,FALSE
1220,1331605,1332393,SP_1412,SP_RS06920,SP_1412,1,prolipoprotein diacylglyceryl transferase,FALSE
1226,1336757,1337449,SP_RS12215,SP_RS12215,SP_RS12215,1,G5 domain-containing protein,FALSE
1235,1347287,1348573,SP_1429,SP_RS07010,SP_1429,1,U32 family peptidase,FALSE
1238,1349751,1350941,SP_1431,SP_RS07025,SP_1431,1,site-specific DNA-methyltransferase,FALSE
1244,1357148,1358272,SP_1438,SP_RS07055,SP_1438,1,ABC transporter ATP-binding protein,FALSE
1248,1362823,1363008,SP_1443,SP_RS07090,SP_1443,1,hypothetical protein,FALSE
1255,1369825,1370460,SP_1450,SP_RS07125,SP_1450,1,1-alkyl-2-acetylglycerophosphocholine esterase,FALSE
1264,1377651,1378181,SP_1463,SP_RS07190,SP_1463,1,methylated-DNA--[protein]-cysteine S-methyltransferase,FALSE
1266,1378810,1379256,SP_1465,SP_RS07200,SP_1465,1,DUF1836 domain-containing protein,FALSE
1268,1379921,1380502,pdxT,SP_RS07210,SP_1467,1,pyridoxal 5'-phosphate synthase glutaminase subunit PdxT,FALSE
1270,1381530,1382909,SP_1469,SP_RS07220,SP_1469,1,FAD-dependent oxidoreductase,FALSE
1277,1391145,1391987,SP_1478,SP_RS07260,SP_1478,1,aldo/keto reductase,FALSE
1282,1401454,1402323,SP_1491,SP_RS07340,SP_1491,1,aquaporin family protein,FALSE
1283,1402547,1403155,SP_1492,SP_RS07345,SP_1492,1,LPXTG cell wall anchor domain-containing protein,FALSE
1312,1433263,1434429,SP_1524,SP_RS07505,SP_1524,1,pyridoxal phosphate-dependent aminotransferase,FALSE
1318,1441425,1442870,SP_1530,SP_RS07535,SP_1530,1,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L- lysine ligase,FALSE
1334,1454330,1455058,yaaA,SP_RS07625,SP_1547,1,peroxide stress protein YaaA,FALSE
1355,1475983,1477215,clpX,SP_RS07735,SP_1569,1,ATP-dependent Clp protease ATP-binding subunit ClpX,FALSE
1368,1488714,1489502,codY,SP_RS07810,SP_1584,1,GTP-sensing pleiotropic transcriptional regulator CodY,FALSE
1372,1494373,1495716,SP_1589,SP_RS07830,SP_1589,1,Mur ligase family protein,FALSE
1379,1502436,1503185,truA,SP_RS07880,SP_1599,1,tRNA pseudouridine(38-40) synthase TruA,FALSE
1419,1541751,1543973,SP_1645,SP_RS08110,SP_1645,1,"bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase",FALSE
1437,1565452,1566711,ftsZ,SP_RS08230,SP_1666,1,cell division protein FtsZ,FALSE
1451,1580194,1581033,SP_1681,SP_RS08305,SP_1681,1,carbohydrate ABC transporter permease,FALSE
1460,1591050,1592387,SP_1690,SP_RS08350,SP_1690,1,sugar ABC transporter substrate-binding protein,FALSE
1464,1599458,1600438,SP_1695,SP_RS08380,SP_1695,1,acetylxylan esterase,FALSE
1470,1605520,1606551,SP_1701,SP_RS08410,SP_1701,1,3-deoxy-7-phosphoheptulonate synthase,FALSE
1497,1634699,1636678,pknB,SP_RS08570,SP_1732,1,Stk1 family PASTA domain-containing Ser/Thr kinase,FALSE
1534,1674278,1674556,SP_RS08765,SP_RS08765,SP_RS08765,1,glycosyltransferase family 2 protein,FALSE
1542,1694513,1694827,trxA,SP_RS08805,SP_1776,1,thioredoxin,FALSE
1546,1697768,1699564,pepF,SP_RS08835,SP_1780,1,oligoendopeptidase F,FALSE
1567,1716678,1718159,SP_1800,SP_RS08935,SP_1800,1,helix-turn-helix domain-containing protein,FALSE
1579,1726402,1727001,SP_1813,SP_RS09000,SP_1813,1,phosphoribosylanthranilate isomerase,FALSE
1586,1733540,1734250,SP_1823,SP_RS09045,SP_1823,1,MgtC/SapB family protein,FALSE
1588,1735956,1736966,SP_1825,SP_RS09055,SP_1825,1,ABC transporter ATP-binding protein,FALSE
1589,1737069,1738136,SP_1826,SP_RS09060,SP_1826,1,extracellular solute-binding protein,FALSE
1592,1740023,1741498,galT,SP_RS09075,SP_1829,1,UDP-glucose--hexose-1-phosphate uridylyltransferase,FALSE
1624,1771923,1772987,pepA,SP_RS09255,SP_1865,1,glutamyl aminopeptidase,FALSE
1627,1775461,1776417,SP_1870,SP_RS09275,SP_1870,1,iron chelate uptake ABC transporter family permease subunit,FALSE
1634,1780719,1781459,xerD,SP_RS09310,SP_1877,1,site-specific tyrosine recombinase XerD,FALSE
1642,1788834,1789544,treR,SP_RS09355,SP_1885,1,trehalose operon repressor,FALSE
1654,1806745,1807605,SP_1899,SP_RS09435,SP_1899,1,AraC family transcriptional regulator,FALSE
1685,1823716,1824342,SP_1910,SP_RS09605,SP_1910,1,DUF4479 and tRNA-binding domain-containing protein,FALSE
1696,1833322,1833654,SP_1924,SP_RS09675,SP_1924,1,hypothetical protein,FALSE
1711,1844634,1845890,SP_1941,SP_RS09755,SP_1941,1,competence/damage-inducible protein A,FALSE
1712,1845975,1846991,SP_1942,SP_RS09760,SP_1942,1,LCP family protein,FALSE
1745,1884257,1885198,SP_1980,SP_RS09950,SP_1980,1,3'-5' exoribonuclease YhaM family protein,FALSE
1759,1896929,1898143,SP_1994,SP_RS10020,SP_1994,1,pyridoxal phosphate-dependent aminotransferase,FALSE
1768,1906185,1907069,SP_2003,SP_RS10070,SP_2003,1,ABC transporter ATP-binding protein,FALSE
1818,1947880,1949070,SP_2044,SP_RS10330,SP_2044,1,acetate kinase,FALSE
1827,1954652,1955017,SP_2054,SP_RS10385,SP_2054,1,DUF1033 family protein,FALSE
1830,1957693,1959510,SP_2057,SP_RS10400,SP_2057,1,acetyltransferase,FALSE
1862,1980558,1982324,patB,SP_RS10560,SP_2073,1,multidrug efflux ABC transporter subunit PatB,FALSE
1865,1988123,1989814,SP_2078,SP_RS10585,SP_2078,1,arginine--tRNA ligase,FALSE
1871,1995296,1996111,pstA,SP_RS10620,SP_2086,1,phosphate ABC transporter permease PstA,FALSE
1872,1996113,1996865,pstB,SP_RS10625,SP_2087,1,phosphate ABC transporter ATP-binding protein PstB,FALSE
1895,2025331,2026317,SP_2112,SP_RS10765,SP_2112,1,LacI family DNA-binding transcriptional regulator,FALSE
1907,2036217,2036558,SP_2125,SP_RS10840,SP_2125,1,metal-sulfur cluster assembly factor,FALSE
1918,2046656,2048521,pcpA,SP_RS10900,SP_2136,1,choline-binding protein PcpA,FALSE
1925,2053398,2056043,SP_2143,SP_RS10935,SP_2143,1,alpha-mannosidase,FALSE
1927,2057586,2059670,SP_2145,SP_RS10945,SP_2145,1,GH92 family glycosyl hydrolase,FALSE
1952,2090430,2091698,dltD,SP_RS11085,SP_2173,1,D-alanyl-lipoteichoic acid biosynthesis protein DltD,FALSE
1964,2106354,2107781,SP_2187,SP_RS11170,SP_2187,1,helix-turn-helix domain-containing protein,FALSE
1966,2108805,2109785,dusB,SP_RS11180,SP_2189,1,tRNA dihydrouridine synthase DusB,FALSE
1975,2120193,2120951,SP_2198,SP_RS11230,SP_2198,1,ABC transporter permease,FALSE
1977,2121460,2122806,cbpD,SP_RS11240,SP_2201,1,choline binding-anchored murein hydrolase CbpD,FALSE
1986,2130642,2131562,cysK,SP_RS11285,SP_2210,1,cysteine synthase A,FALSE
1988,2132576,2132899,tnpB,SP_RS11300,SP_2213,1,IS66 family insertion sequence element accessory protein TnpB,FALSE
1993,2137033,2137851,mreC,SP_RS11325,SP_2218,1,rod shape-determining protein MreC,FALSE
1994,2137910,2138704,SP_2219,SP_RS11330,SP_2219,1,energy-coupling factor transporter transmembrane protein EcfT,FALSE
2001,2144453,2144821,yaaA,SP_RS11365,SP_2226,1,peroxide stress protein YaaA,FALSE
2003,2145972,2147450,guaB,SP_RS11375,SP_2228,1,IMP dehydrogenase,FALSE
1,197,1558,dnaA,SP_RS00005,SP_0001,0,NA,FALSE
2,1717,2853,dnaN,SP_RS00010,SP_0002,0,NA,FALSE
3,2918,3112,SP_0003,SP_RS00015,SP_0003,0,NA,FALSE
4,3196,4311,ychF,SP_RS00020,SP_0004,0,NA,FALSE
5,4382,4951,SP_0005,SP_RS00025,SP_0005,0,NA,FALSE
6,4952,8461,mfd,SP_RS00030,SP_0006,0,NA,FALSE
7,8519,8785,SP_0007,SP_RS00035,SP_0007,0,NA,FALSE
8,8778,9146,SP_0008,SP_RS00040,SP_0008,0,NA,FALSE
9,9266,10534,SP_0010,SP_RS00050,SP_0010,0,NA,FALSE
10,10531,11808,tilS,SP_RS00055,SP_0011,0,NA,FALSE
11,11812,12354,hpt,SP_RS00060,SP_0012,0,NA,FALSE
12,12370,14328,ftsH,SP_RS00065,SP_0013,0,NA,FALSE
13,14450,14929,SP_0014,SP_RS00070,SP_0014,0,NA,FALSE
14,15023,15094,SP_2242,SP_RS00075,SP_2242,0,NA,FALSE
